model_name,category,Cultural Accuracy,Regional Accuracy,Social Accuracy,Bias Stereotype
openai_dalle_3,Occupations & Aspirations,1.932183566158592,1.3984117975602022,1.4142135623730951,1.9321835661585915
openai_dalle_3,Pluralism,,,,
openai_dalle_3,"Protest, Religion",,,,
openai_dalle_3,"Region, Childhood",,,,
openai_dalle_3,Regional Diversity,0.0,0.0,0.0,0.6666666666666669
openai_dalle_3,Religion,2.3094010767585034,2.3094010767585034,2.3094010767585034,2.3094010767585034
openai_dalle_3,"Religion, Austerity",,,,
openai_dalle_3,"Religion, Region",0.0,0.0,0.0,2.8284271247461903
openai_dalle_3,"Rural, Culture",,,,
openai_dalle_3,"Rural, Water Crisis",,,,
openai_dalle_3,"Signs, Language & Scripts",1.7888543819998317,1.7888543819998317,1.7888543819998317,0.0
openai_dalle_3,"Sports, Region",,,,
openai_dalle_3,"Tribal, Tradition",,,,
openai_gpt_image_1,"Arts, Music & Pop Culture",1.7888543819998317,1.0954451150103321,0.894427190999916,1.7888543819998317
openai_gpt_image_1,"Caste, Dance, Religion",0.0,0.0,0.0,0.0
openai_gpt_image_1,"Caste, Tradition",,,,
openai_gpt_image_1,"Culture, Religion",,,,
openai_gpt_image_1,Daily Life & Social Context,0.41702882811414954,0.41702882811414954,0.0,1.6869646713465998
openai_gpt_image_1,Diversity & Inclusion,1.4142135623730951,1.4142135623730951,1.4142135623730951,1.4880476182856899
openai_gpt_image_1,"Education, Youth & Women",2.0,2.0,2.0,2.1908902300206643
openai_gpt_image_1,Indian Festivals & Rituals,0.44721359549995787,0.6155870112510925,0.44721359549995787,1.6415653633362466
openai_gpt_image_1,"Northeast, Economy",,,,
openai_gpt_image_1,Occupations & Aspirations,1.7888543819998317,1.7888543819998317,1.7888543819998317,1.7888543819998317
openai_gpt_image_1,Regional Diversity,1.1547005383792515,1.1547005383792515,0.879393730551528,1.5275252316519465
openai_gpt_image_1,Religion & Spirituality,1.1769797726729996,0.9351250581921514,0.5884898863365,1.9429080716523301
openai_gpt_image_1,"Signs, Language & Scripts",1.1094003924504583,1.1094003924504583,1.1094003924504583,1.1094003924504583
sd_api_stable-diffusion-xl-1024-v1-0,"Arts, Music & Pop Culture",1.5859229221975182,1.5859229221975182,1.5859229221975182,0.0
sd_api_stable-diffusion-xl-1024-v1-0,Daily Life & Social Context,0.8819171036881968,1.4142135623730951,1.4142135623730951,0.0
sd_api_stable-diffusion-xl-1024-v1-0,Diversity & Inclusion,1.6403990645294486,1.618079669911781,1.5015143870590966,1.2933395813657265
sd_api_stable-diffusion-xl-1024-v1-0,"Education, Youth & Women",1.4880476182856899,1.48804761828569,1.035098339013531,1.4142135623730951
sd_api_stable-diffusion-xl-1024-v1-0,"Identity, Tradition",,,,
sd_api_stable-diffusion-xl-1024-v1-0,Indian Festivals & Rituals,1.5859229221975182,1.7320508075688772,1.7320508075688772,1.3026778945578594
sd_api_stable-diffusion-xl-1024-v1-0,"Nature Worship, Survival",,,,
sd_api_stable-diffusion-xl-1024-v1-0,Occupations & Aspirations,0.0,1.0377490433255416,1.0377490433255416,0.0
sd_api_stable-diffusion-xl-1024-v1-0,Regional Diversity,0.9847319278346618,1.0298573010888745,1.0298573010888745,1.1547005383792517
sd_api_stable-diffusion-xl-1024-v1-0,Religion & Spirituality,1.5859229221975177,1.5859229221975177,1.5954480704349308,1.5569978883230458
